contig_id,class,family
Psittacid~herpesvirus~1,3,3
Anatid~herpesvirus~1~strain~2085,3,3
Columbid~alphaherpesvirus~1~strain~HLJ,3,3
Falconid~herpesvirus~1~strain~S~18,3,3
Gallid~herpesvirus~2,3,3
Gallid~herpesvirus~3~strain~SB~1,3,3
Meleagrid~herpesvirus~1,3,3
Sphenicid~alphaherpesvirus~1~isolate~lib01004~genome~assembly,3,3
Chelonid~herpesvirus~5,3,3
Testudinid~herpesvirus~3~strain~1976,3,3
Ateline~alphaherpesvirus~1~isolate~Lennette,3,3
Bovine~herpesvirus~2~DNA~dependent~DNA~polymerase~(DPOL)~gene,3,3
Cercopithecine~herpesvirus~2,3,3
Human~herpesvirus~1~strain~17,3,3
Human~herpesvirus~2~strain~HG52,3,3
Leporid~herpesvirus~4~isolate~LHV4012612,3,3
Macacine~herpesvirus~1,3,3
Macacine~alphaherpesvirus~1~isolate~8100812,3,3
Macacine~alphaherpesvirus~1~isolate~KQ,3,3
Macropodid~herpesvirus~1~isolate~MaHV1.3076~08,3,3
Macropodid~herpesvirus~type~2~glycoprotein~B~(UL27)~gene,3,3
Chimpanzee~alpha~1~herpesvirus~strain~105640,3,3
Papiine~herpesvirus~2,3,3
Fruit~bat~alphaherpesvirus~1~DNA,3,3
Saimiriine~herpesvirus~1,3,3
Bovine~herpesvirus~type~1.1~isolate~NVSL~challenge~97~11,3,3
Bovine~herpesvirus~5~strain~SV507~99,3,3
Bubaline~alphaherpesvirus~1~strain~b6,3,3
Canid~herpesvirus~1~strain~0194,3,3
Caprine~herpesvirus~1~strain~E~CH~glycoprotein~B~gene,3,3
Cercopithecine~herpesvirus~9,3,3
Cervid~alphaherpesvirus~1~strain~Anlier,3,3
Cervid~alphaherpesvirus~2~strain~Norway,3,3
Cervid~alphaherpesvirus~3~strain~Canada,3,3
Equid~herpesvirus~1,3,3
Equid~herpesvirus~3~strain~AR~2007~C3A,3,3
Equid~herpesvirus~4,3,3
Equid~alphaherpesvirus~8~strain~EHV~8~IR~2003~19,3,3
Equid~herpesvirus~9,3,3
Felid~herpesvirus~1~strain~C~27,3,3
Human~herpesvirus~3,3,3
Beluga~whale~alphaherpesvirus~1~strain~LN3131~1,3,3
Phocid~alphaherpesvirus~1,3,3
Suid~herpesvirus~1~strain~Kaplan,3,3
Lung~eye~trachea~disease~associated~herpesvirus~glycoprotein~B~gene,3,3
Aotine~herpesvirus~1~strain~S34E,3,3
Cebine~herpesvirus~1~strain~5567~DNA~polymerase~catalytic~subunit~(UL54)~gene,3,3
Cercopithecine~herpesvirus~5~strain~2715,3,3
Human~herpesvirus~5~strain~Merlin,3,3
Macacine~herpesvirus~3,3,3
Cynomolgus~macaque~cytomegalovirus~strain~Ottawa,3,3
Mandrillus~leucophaeus~cytomegalovirus~isolate~OCOM6~2,3,3
Panine~herpesvirus~2~strain~Heberling,3,3
Papio~ursinus~cytomegalovirus~isolate~OCOM4~52,3,3
Saimiriine~herpesvirus~4~strain~SqSHV,3,3
Murid~herpesvirus~1~strain~Smith,3,3
Rat~cytomegalovirus~Maastricht,3,3
Murid~herpesvirus~8~isolate~England,3,3
Elephantid~herpesvirus~1,3,3
Elephant~endotheliotropic~herpesvirus~4~isolate~North~American~NAP69,3,3
Elephant~endotheliotropic~herpesvirus~5~strain~Vijay,3,3
Caviid~herpesvirus~2~strain~21222,3,3
Bat~betaherpesvirus~B7D8,3,3
Tupaiid~herpesvirus~1,3,3
Human~herpesvirus~7,3,3
Human~betaherpesvirus~6A,3,3
Human~herpesvirus~6B,3,3
Macaca~nemestrina~herpesvirus~7,3,3
Murine~roseolovirus~isolate~YOK1,3,3
Porcine~cytomegalovirus~strain~BJ09,3,3
Common~bottlenose~dolphin~gammaherpesvirus~1~strain~Sarasota,3,3
Callitrichine~herpesvirus~3~strain~CJ0149,3,3
Pongine~herpesvirus~3~(Gorilla~herpesvirus)~gB~gene~for~glycoprotein~B~gene,3,3
Human~gammaherpesvirus~4,3,3
Human~herpesvirus~4,3,3
Macacine~herpesvirus~4,3,3
Lymphocryptovirus~Macaca~pfe~lcl~E3,3,3
Pongine~herpesvirus~1~(Chimpanzee~herpesvirus)~gB~gene~for~glycoprotein~B~gene,3,3
Cercopithecine~herpesvirus~12~(Baboon~herpesvirus)~gB~gene~for~glycoprotein~B,3,3
Pongine~herpesvirus~2~(Orangutan~herpesvirus)~gB~gene~for~glycoprotein~B~gene,3,3
Alcelaphine~herpesvirus~1,3,3
Alcelaphine~herpesvirus~2~isolate~topi~AlHV~2,3,3
Bovine~herpesvirus~6~isolate~Pennsylvania~47,3,3
Caprine~herpesvirus~2~glycoprotein~B~(gB)~and~DNA~polymerase~(DPOL)~genes,3,3
Ovine~herpesvirus~2~strain~BJ1035,3,3
Porcine~lymphotropic~herpesvirus~long~unique~region,3,3
Porcine~lymphotropic~herpesvirus~2~isolate~568~long~unique~region,3,3
Porcine~lymphotropic~herpesvirus~3~isolate~489~long~unique~region,3,3
Phascolarctid~gammaherpesvirus~1~strain~36M~11,3,3
Vombatid~gammaherpesvirus~1~strain~V3187~11,3,3
Eptesicus~fuscus~gammaherpesvirus,3,3
Equid~herpesvirus~2~strain~86~67,3,3
Equid~herpesvirus~5~strain~2~141~67,3,3
Felis~catus~gammaherpesvirus~1~isolate~31286,3,3
Badger~herpesvirus~envelope~glycoprotein~B~(gB)~and~DNA~polymerase~(pol)~genes,3,3
Harp~seal~herpesvirus~isolate~FMV04~1493874,3,3
Myotis~gammaherpesvirus~8~strain~My~HV8~Myotis~velifer~incautus~USA~FCGHV~2011,3,3
Herpesvirus~ateles~thymidylate~synthase~(TS)~gene,3,3
Ateline~herpesvirus~3~complete~genome,3,3
Bovine~herpesvirus~4~long~unique~region,3,3
Rodent~herpesvirus~Peru,3,3
Human~herpesvirus~8~strain~GK18,3,3
Macacine~herpesvirus~5,3,3
Retroperitoneal~fibromatosis~associated~herpesvirus~isolate~RFHVMnM78114,3,3
Macaca~fuscata~rhadinovirus,3,3
Macaca~nemestrina~rhadinovirus~2~strain~J97167,3,3
Murine~herpesvirus~68~strain~WUMS,3,3
Wood~mouse~herpesvirus~strain~WM8,3,3
Saimiriine~herpesvirus~2~complete~genome,3,3
Enterobacter~phage~EspM4VN~DNA,4,4
Salmonella~phage~P46FS4,4,4
Salmonella~phage~SKML~39,4,4
Shigella~phage~phiSboM~AG3,4,4
Shigella~phage~MK~13,4,4
Dickeya~phage~vB_DsoM_LIMEstone1~complete~genome,4,4
Dickeya~phage~RC~2014,4,4
Escherichia~phage~vB_EcoM_CBA120,4,4
Escherichia~phage~ECML~4,4,4
Escherichia~phage~EP75,4,4
Escherichia~phage~FEC14,4,4
Escherichia~phage~PhaxI,4,4
Salmonella~phage~38,4,4
Salmonella~phage~aagejoakim,4,4
Salmonella~phage~allotria,4,4
Salmonella~phage~barely,4,4
Salmonella~phage~bering,4,4
Salmonella~phage~BSP101,4,4
Salmonella~phage~Det7,4,4
Salmonella~phage~dinky,4,4
Salmonella~phage~GG32,4,4
Salmonella~phage~heyday,4,4
Salmonella~phage~maane,4,4
Salmonella~phage~Marshall,4,4
Salmonella~phage~Maynard,4,4
Salmonella~phage~moki,4,4
Salmonella~phage~Mutine,4,4
Salmonella~phage~pertopsoe,4,4
Salmonella~phage~vB_SalM_PM10,4,4
Salmonella~phage~rabagast,4,4
Salmonella~phage~S118,4,4
Salmonella~phage~SE14,4,4
Salmonella~phage~Se~B,4,4
Salmonella~phage~Se~G,4,4
Salmonella~phage~Se~J,4,4
Salmonella~phage~SenALZ1,4,4
Salmonella~phage~SenASZ3,4,4
UNVERIFIED:~Salmonella~phage~SeSz~1,4,4
Salmonella~phage~SFP10,4,4
Salmonella~phage~PhiSH19,4,4
Salmonella~phage~vB_SalM_SJ2,4,4
Salmonella~phage~vB_SalM_SJ3,4,4
Salmonella~phage~SP1,4,4
Salmonella~phage~SS9,4,4
Salmonella~phage~STML~13~1,4,4
Salmonella~phage~ST~W77,4,4
Salmonella~phage~Vi01,4,4
Vibrio~phage~YC,4,4
Vibrio~phage~vB_VchM_Kuja,4,4
Serratia~phage~vB_SmaA_3M,4,4
Serratia~phage~phiMAM1,4,4
Erwinia~phage~vB_EamM~Bue1,4,4
Erwinia~phage~phiEa2809,4,4
Escherichia~phage~vB_EcoM_KWBSE43~6,4,4
Klebsiella~virus~0507KN21~DNA,4,4
Klebsiella~virus~vB_KpnM_KpS110,4,4
Klebsiella~phage~Magnus,4,4
Klebsiella~phage~May,4,4
Klebsiella~phage~Menlow,4,4
Klebsiella~virus~UPM~2146,4,4
Serratia~phage~vB_Sru_IME250,4,4
Aeromonas~phage~phiA8~29,4,4
Vibrio~phage~VAP7,4,4
Acinetobacter~phage~vB_AbaP_Acibel007,5,5
Acinetobacter~phage~AB3,5,5
Acinetobacter~phage~AbKT21phiIII,5,5
Acinetobacter~phage~Abp1,5,5
Acinetobacter~phage~vB_AbaP_46~62_Aci07,5,5
Acinetobacter~phage~vB_AbaP_B09_Aci08,5,5
Acinetobacter~phage~vB_AbaP_AS11,5,5
Acinetobacter~phage~vB_AbaP_AS12,5,5
Acinetobacter~phage~vB_AbaP_B1,5,5
Acinetobacter~phage~vB_AbaP_B3,5,5
Acinetobacter~phage~vB_AbaP_B5,5,5
Acinetobacter~phage~vB_AbaP_D2,5,5
Acinetobacter~phage~Fri1,5,5
Acinetobacter~phage~IME200,5,5
Acinetobacter~phage~vB_ApiP_P1,5,5
Acinetobacter~phage~vB_ApiP_P2,5,5
Acinetobacter~phage~vB_AbaP_PD~6A3,5,5
Acinetobacter~phage~vB_AbaP_PD~AB9,5,5
Acinetobacter~phage~phiAB1,5,5
Acinetobacter~phage~phiAB6,5,5
Acinetobacter~phage~SH~Ab~15519,5,5
Acinetobacter~phage~SWH~Ab~1,5,5
Acinetobacter~phage~SWH~Ab~3,5,5
Acinetobacter~phage~WCHABP5,5,5
Acinetobacter~phage~Petty,5,5
Vibrio~phage~Vc1,5,5
Vibrio~phage~phi~A318,5,5
Vibrio~phage~AS51,5,5
Vibrio~phage~Vp670,5,5
Marinomonas~phage~CB5A,5,5
Marinomonas~phage~CPP1m,5,5
Vibrio~phage~VEN,5,5
Pseudomonas~phage~Achelous,5,5
Pseudomonas~phage~Alpheus,5,5
Pseudomonas~phage~Nerthus,5,5
Pseudomonas~phage~Njord,5,5
Pseudomonas~phage~uligo,5,5
Pseudomonas~phage~YMC11~06~C171_PPU_BP,5,5
Pectobacterium~phage~PP16,5,5
Pectobacterium~phage~PPWS1~DNA,5,5
Pectobacterium~phage~PPWS2~DNA,5,5
Pectobacterium~phage~vB_PatP_CB5,5,5
Pectobacterium~phage~Clickz,5,5
Pectobacterium~phage~PhiM1,5,5
Pectobacterium~phage~Gaspode,5,5
Pectobacterium~phage~Khlen,5,5
Pectobacterium~phage~Koot,5,5
Pectobacterium~phage~Lelidair,5,5
Pectobacterium~phage~Nobby,5,5
Pectobacterium~phage~Peat1,5,5
Pectobacterium~phage~Phoria,5,5
Pectobacterium~phage~PP90,5,5
Pectobacterium~phage~Zenivior,5,5
Dickeya~phage~BF25~12,5,5
Pseudomonas~phage~phiNV3,5,5
Pseudomonas~phage~vB_PaeP_130_113,5,5
Pseudomonas~phage~vB_PaeP_PAO1_1~15pyo,5,5
Pseudomonas~phage~vB_PaeP_PAO1_Ab05,5,5
Pseudomonas~phage~vB_PaeP_PPA~ABTNL,5,5
Pseudomonas~phage~DL62,5,5
Pseudomonas~phage~phikF77,5,5
Pseudomonas~phage~LKD16,5,5
Pseudomonas~phage~LUZ19,5,5
Pseudomonas~phage~MPK6,5,5
Pseudomonas~phage~MPK7,5,5
Pseudomonas~phage~phiNFS,5,5
Pseudomonas~phage~PAXYB1,5,5
Pseudomonas~phage~phiKMV,5,5
Pseudomonas~phage~PT2,5,5
Pseudomonas~phage~PT5,5,5
Pseudomonas~phage~RLP,5,5
Pseudomonas~phage~LKA1,5,5
Pseudomonas~phage~phi~2,5,5
Aeromonas~phage~25AhydR2PP,5,5
Aeromonas~phage~phiAS7,5,5
Aeromonas~phage~ZPAH7,5,5
Yersinia~phage~vB_YenP_ISAO8,5,5
Aeromonas~phage~Ahp1,5,5
Aeromonas~phage~CF7,5,5
Cronobacter~phage~Dev~CD~23823~complete~sequence,5,5
Cronobacter~sakazakii~phage~vB_CskP_GAP227,5,5
Salmonella~phage~vB_SpuP_Spp16,5,5
Yersinia~phage~phiR8~01~complete~genome,5,5
Yersinia~phage~fHe~Yen3~01,5,5
Yersinia~phage~phi80~18~complete~genome,5,5
Pectobacterium~phage~Arno160,5,5
Pectobacterium~phage~PP2,5,5
Proteus~phage~PM~85,5,5
Proteus~phage~PM~93,5,5
Proteus~phage~PM~116,5,5
Proteus~phage~vB_PmiP_Pm5460,5,5
Pectobacterium~phage~PP1,5,5
Erwinia~amylovora~phage~Era103,5,5
Erwinia~phage~vB_EamP~S2,5,5
Lelliottia~phage~phD2B,5,5
Citrobacter~phage~vB_CroP_CrRp3,5,5
Escherichia~phage~LL11,5,5
Escherichia~virus~AAPEc6,5,5
Enterobacteria~phage~vB_EcoP_ACG~C91,5,5
Escherichia~phage~vB_EcoP_B,5,5
Escherichia~phage~vB_EcoP_C,5,5
Escherichia~phage~vB_EcoP_K,5,5
Enterobacteria~phage~K1~5,5,5
Enterobacteria~phage~K1E,5,5
Escherichia~virus~mutPK1A2,5,5
Escherichia~virus~VEc3,5,5
Enterobacteria~phage~UAB_Phi78,5,5
Salmonella~phage~BP12B,5,5
Enterobacteria~phage~SP6,5,5
Burkholderia~phage~Bp~AMP1~complete~genome,5,5
Ralstonia~phage~RS~PI~1,5,5
Ralstonia~phage~RSB1,5,5
Ralstonia~phage~RsoP1IDN,5,5
Burkholderia~phage~JG068,5,5
Ralstonia~phage~RSJ2~DNA,5,5
Ralstonia~phage~RSJ5~DNA,5,5
Ralstonia~phage~RS~PII~1,5,5
Shigella~phage~HRP29,5,5
Escherichia~phage~Minorna,5,5
Klebsiella~phage~AltoGao,5,5
Klebsiella~phage~phiBO1E,5,5
Klebsiella~phage~F19,5,5
Klebsiella~phage~NTUH~K2044~K1~1~DNA,5,5
Klebsiella~phage~vB_Kp2,5,5
Klebsiella~phage~KP34,5,5
Klebsiella~phage~KP~Rio~2015,5,5
Klebsiella~phage~phiKpS2,5,5
Klebsiella~phage~vB_KpnP_KpV41,5,5
Klebsiella~phage~vB_KpnP_KpV48,5,5
Klebsiella~phage~vB_KpnP_KpV71,5,5
Klebsiella~phage~vB_KpnP_KpV74,5,5
Klebsiella~phage~vB_KpnP_KpV475,5,5
Klebsiella~phage~KPV811,5,5
Klebsiella~phage~myPSH1235,5,5
Klebsiella~phage~vB_KpnP_SU503,5,5
Klebsiella~phage~vB_KpnP_SU552A,5,5
Shigella~phage~SFN6B,5,5
Enterobacter~phage~phiKDA1,5,5
Proteus~phage~PM16,5,5
Proteus~phage~PM~75,5,5
Dickeya~phage~Dagda,5,5
Dickeya~phage~Katbat,5,5
Dickeya~phage~Luksen,5,5
Dickeya~phage~Mysterion,5,5
Yersinia~phage~vB_YenP_AP10,5,5
Erwinia~phage~FE44,5,5
Enterobacteria~phage~285P,5,5
Enterobacteria~phage~BA14,5,5
Escherichia~phage~P483,5,5
Escherichia~phage~P694,5,5
Escherichia~phage~vB_EcoP_S523,5,5
Kluyvera~phage~Kvp1,5,5
Pectobacterium~phage~PP74,5,5
Salmonella~phage~BP12A,5,5
Salmonella~phage~BSP161,5,5
Shigella~phage~VB_Ship_A7,5,5
Yersinia~phage~Berlin,5,5
Yersinia~phage~PYPS50,5,5
Yersinia~phage~Yepe2,5,5
Yersinia~phage~Yep~phi,5,5
Citrobacter~phage~CR8~complete~genome,5,5
Vibrio~phage~ICP3,5,5
Vibrio~phage~N4,5,5
Vibriophage~VP4,5,5
Enterobacter~phage~phiEap~1,5,5
Erwinia~phage~vB_EamP~L1,5,5
Escherichia~phage~SRT7,5,5
Pseudomonas~phage~17A~chromosome~1,5,5
Pseudomonas~phage~gh~1,5,5
Pseudomonas~phage~Henninger,5,5
Pseudomonas~virus~KNP,5,5
Pseudomonas~virus~Pf1~ERZ~2017,5,5
Pseudomonas~phage~phiPSA2,5,5
Pseudomonas~phage~phiPsa17,5,5
Pseudomonas~phage~PPPL~1,5,5
Pseudomonas~phage~shl2~genome~assembly,5,5
Pseudomonas~virus~WRT,5,5
Yersinia~phage~fPS~9~genome~assembly,5,5
Yersinia~phage~fPS~53~genome~assembly,5,5
Yersinia~phage~fPS~59~genome~assembly,5,5
Yersinia~phage~fPS~54~ocr~genome~assembly,5,5
Pectobacterium~phage~Jarilo,5,5
Citrobacter~phage~CR44b~complete~genome,5,5
Citrobacter~phage~SH3,5,5
Citrobacter~phage~SH4,5,5
Cronobacter~phage~Dev2~complete~genome,5,5
Cronobacter~phage~GW1,5,5
Enterobacter~phage~EcpYZU01,5,5
Enterobacteria~phage~EcoDS1,5,5
Escherichia~phage~vB_EcoP_F,5,5
Escherichia~phage~vB_EcoP_GA2A,5,5
Escherichia~phage~IMM~002,5,5
Enterobacteria~phage~K1F,5,5
Escherichia~phage~LM33_P1~genome~assembly,5,5
Escherichia~phage~PE3~1,5,5
Escherichia~phage~vB_EcoP~Ro45lw,5,5
Escherichia~phage~ST31,5,5
Escherichia~virus~Vec13,5,5
Escherichia~phage~YZ1,5,5
Escherichia~phage~ZG49,5,5
Shigella~phage~SFPH2,5,5
Morganella~phage~MmP1,5,5
Morganella~phage~vB_MmoP_MP2,5,5
Dickeya~phage~vB_DsoP_JA10,5,5
Dickeya~phage~Ninurta,5,5
Pectobacterium~phage~PP47,5,5
Pectobacterium~phage~PP81,5,5
Pectobacterium~phage~PPWS4~DNA,5,5
Pseudomonas~phage~PPpW~4~DNA,5,5
Pseudomonas~phage~22PfluR64PP,5,5
Pseudomonas~phage~phiIBB~PF7A,5,5
Pseudomonas~phage~Pf~10,5,5
Pseudomonas~phage~PFP1,5,5
Pseudomonas~phage~Phi~S1,5,5
Pseudomonas~phage~UNO~SLW1,5,5
Pseudomonas~phage~PspYZU08,5,5
Enterobacteria~phage~K30,5,5
Klebsiella~phage~2044~307w,5,5
Klebsiella~phage~vB_KpnP_BIS33,5,5
Klebsiella~phage~Henu1,5,5
Klebsiella~phage~vB_KpnP_IL33,5,5
Klebsiella~phage~vB_KpnP_IME205,5,5
Klebsiella~phage~vB_KpnP_IME321,5,5
Klebsiella~phage~K5,5,5
Klebsiella~phage~K11,5,5
Klebsiella~phage~K5~2,5,5
Klebsiella~phage~K5~4,5,5
Klebsiella~phage~KN1~1~DNA,5,5
Klebsiella~phage~KN3~1~DNA,5,5
Klebsiella~phage~KN4~1~DNA,5,5
Klebsiella~phage~vB_Kp1,5,5
Klebsiella~phage~KP32,5,5
Klebsiella~virus~KP32~isolate~192,5,5
Klebsiella~virus~KP32~isolate~194,5,5
Klebsiella~virus~KP32~isolate~195,5,5
Klebsiella~virus~KP32~isolate~196,5,5
Klebsiella~phage~kpssk3,5,5
Klebsiella~phage~vB_KpnP_KpV289,5,5
Klebsiella~phage~vB_KpnP_KpV763,5,5
Klebsiella~phage~vB_KpnP_KpV766,5,5
Klebsiella~phage~vB_KpnP_KpV767,5,5
Klebsiella~phage~Pharr,5,5
Klebsiella~phage~vB_KpnP_PRA33,5,5
Klebsiella~phage~SH~Kp~152234,5,5
Klebsiella~phage~SH~Kp~152410,5,5
Citrobacter~phage~phiCFP~1,5,5
Citrobacter~phage~SH1,5,5
Citrobacter~phage~SH2,5,5
Enterobacter~phage~E~2,5,5
Enterobacter~phage~E~3,5,5
Enterobacter~phage~KNP3,5,5
Enterobacteria~phage~T7M,5,5
Escherichia~phage~ECA2,5,5
Escherichia~phage~LL2,5,5
Enterobacteria~phage~T3,5,5
Enterobacteria~phage~T3,5,5
Leclercia~phage~10164~302,5,5
Salmonella~phage~phiSG~JL2,5,5
Serratia~phage~2050H2,5,5
Serratia~phage~SM9~3Y,5,5
Yersinia~phage~vB_YenP_AP5,5,5
Yersinia~phage~phiYe~F10,5,5
Yersinia~phage~phiYeO3~12,5,5
Enterobacteria~phage~vB_EcoP_IME390,5,5
Enterobacteria~phage~13a,5,5
Escherichia~phage~64795_ec1,5,5
Escherichia~phage~C5,5,5
Escherichia~phage~CICC~80001,5,5
Escherichia~phage~Ebrios,5,5
Escherichia~phage~EG1,5,5
Escherichia~phage~HZ2R8,5,5
Escherichia~phage~HZP2,5,5
Escherichia~phage~N30,5,5
Phage~NC~A,5,5
Enterobacteria~phage~T7,5,5
Salmonella~phage~3A_8767,5,5
Salmonella~phage~Vi06~complete~sequence,5,5
Stenotrophomonas~phage~IME15,5,5
Yersinia~phage~YpP~Y,5,5
Yersinia~phage~YpsP~G,5,5
Pseudomonas~phage~phi15,5,5
Pectobacterium~phage~DU_PP_II,5,5
Pseudomonas~phage~vB_PsyP_3MF5,5,5
Synechococcus~phage~S~CBP42,5,5
Ralstonia~phage~Anchaing,5,5
Aquamicrobium~phage~P14,5,5
Uncultured~phage_MedDCM~OCT~S45~C4~DNA,5,5
Agrobacterium~phage~Atu_ph02,5,5
Agrobacterium~phage~Atu_ph03,5,5
Ralstonia~virus~phiAp1,5,5
Uncultured~phage_MedDCM~OCT~S45~C18~DNA,5,5
Cyanophage~SS120~1~genomic~sequence,5,5
Pseudomonas~phage~Andromeda,5,5
Pseudomonas~phage~Bf7,5,5
Enterobacteria~phage~J8~65,5,5
Escherichia~phage~Lidtsur,5,5
Cyanophage~NATL1A~7,5,5
Uncultured~Mediterranean~phage~clone~uvDeep1~GF2~KM23~C739~genomic~sequence,5,5
Rhizobium~phage~RHEph02,5,5
Rhizobium~phage~RHEph08,5,5
Rhizobium~phage~RHEph09,5,5
Vibrio~phage~1.204.O._10N.222.46.F12,5,5
Escherichia~phage~PGT2,5,5
Escherichia~phage~phiKT,5,5
Alteromonas~virus~vB_AspP~H4~4,5,5
Uncultured~phage_MedDCM~OCT~S46~C10~DNA,5,5
Uncultured~phage_MedDCM~OCT~S30~C28~DNA,5,5
Escherichia~phage~ECBP5,5,5
Pectobacterium~phage~PP99,5,5
Ralstonia~phage~DU_RP_I,5,5
Ralstonia~phage~RsoP1EGY,5,5
Synechococcus~T7~like~virus~S~TIP37,5,5
Uncultured~phage~MedDCM~OCT~S08~C159~genomic~sequence,5,5
Ralstonia~phage~RSB3~DNA,5,5
Phage~MedPE~SWcel~C56,5,5
Synechococcus~phage~S~RIP1~genomic~sequence,5,5
Providencia~phage~vB~PstP~PS3,5,5
Curvibacter~phage~P26059B,5,5
Ralstonia~phage~RSB2~DNA,5,5
Synechococcus~phage~S~CBP2,5,5
Uncultured~phage_MedDCM~OCT~S39~C11~DNA,5,5
Podovirus~Lau218~strain~Abe,5,5
Pantoea~phage~LIMElight,5,5
Prochlorococcus~phage~P~GSP1~genomic~sequence,5,5
Synechococcus~phage~S~CBP3,5,5
Caulobacter~phage~Lullwater,5,5
Vibrio~phage~vB_VpaP_KF1,5,5
Vibrio~phage~vB_VpaP_KF2,5,5
Vibrio~phage~vB_VpaS_OWB,5,5
Vibrio~phage~VP93,5,5
Pseudomonas~phage~VSW~3,5,5
Uncultured~phage_MedDCM~OCT~S31~C1~DNA,5,5
Uncultured~phage_MedDCM~OCT~S37~C6~DNA,5,5
Rhizobium~phage~RHEph01,5,5
Uncultured~phage~MedDCM~OCT~S05~C849~genomic~sequence,5,5
Mesorhizobium~phagevB_MloP_Lo5R7ANS,5,5
Uncultured~phage_MedDCM~OCT~S28~C3~DNA,5,5
Uncultured~phage~MedDCM~OCT~S04~C24~genomic~sequence,5,5
Pelagibacter~phage~HTVC019P,5,5
Uncultured~phage_MedDCM~OCT~S35~C6~DNA,5,5
Caulobacter~phage~Percy,5,5
Delftia~phage~IME~DE1,5,5
Uncultured~phage~MedDCM~OCT~S05~C243~genomic~sequence,5,5
Pseudomonas~phage~PollyC,5,5
Synechococcus~phage~S~CBP4~genomic~sequence,5,5
Uncultured~phage~MedDCM~OCT~S08~C41~genomic~sequence,5,5
Xanthomonas~phage~f20~Xaj,5,5
Xanthomonas~phage~f30~Xaj,5,5
Xanthomonas~phage~XAJ24,5,5
Xanthomonas~phage~phi~Xc10,5,5
Xylella~phage~Prado,5,5
Synechococcus~phage~S~B28,5,5
Sphingomonas~phage~Scott~isolate~SPS,5,5
Synechococcus~phage~S~RIP2~genomic~sequence,5,5
Ralstonia~phage~phiITL~1,5,5
Uncultured~phage_MedDCM~OCT~S42~C7~DNA,5,5
Ralstonia~phage~RPSC1,5,5
Uncultured~phage_MedDCM~OCT~S38~C3~DNA,5,5
Pelagibacter~phage~HTVC011P,5,5
Uncultured~Mediterranean~phage~clone~uvDeep~GF0~KM16~C193~genomic~sequence,5,5
Cyanophage~9515~10a,5,5
Cyanophage~NATL2A~133,5,5
Prochlorococcus~phage~P~SSP10~genomic~sequence,5,5
Vibrio~phage~JSF7,5,5
Prochlorococcus~phage~P~SSP7,5,5
Synechococcus~phage~P60,5,5
Prochlorococcus~phage~P~SSP3~genomic~sequence,5,5
Cyanophage~P~SSP2,5,5
Cyanophage~Syn5,5,5
Uncultured~phage_MedDCM~OCT~S28~C10~DNA,5,5
Pantoea~phage~LIMEzero,5,5
Pasteurella~phage~PHB01,5,5
Pasteurella~phage~PHB02,5,5
Escherichia~phage~flopper,6,6
Enterobacteria~phage~phiEcoM~GJ1,6,6
Escherichia~phage~Mangalitsa,6,6
Escherichia~phage~ST32,6,6
Erwinia~phage~Faunus,6,6
Erwinia~phage~vB_EamM~Y2,6,6
Pantoea~phage~vB_PagM_SSEM1,6,6
Proteus~phage~Myduc,6,6
