contig_id,proteins
Staphylococcus~phage~PSa3~complete~sequence,19
Enterococcus~phage~vB_EfaP_Ef6.3,26
Human~adenovirus~29,32
MAG:~Leviviridae~sp.~isolate~248~k141_244285,3
Human~oral~associated~vientovirus~EC,2
Cotton~leaf~curl~Alabad~virus~segment~DNA~A,6
UNVERIFIED:~Bandia~virus~isolate~IPD~A611~segment~L~genomic~sequence,4
Avian~paramyxovirus~9~strain~duck~New~York~22~1978,8
Pectobacterium~bacteriophage~PM2,287
Green~Sichuan~pepper~nepovirus~isolate~ZPNe1~segment~RNA2,4
MAG:~Cressdnaviricota~sp.~isolate~ctbd540,2
Escherichia~phage~vB_EcoS_W011D,81
Human~echovirus~31~strain~Caldwell~complete~genome,2
Simian~foamy~virus~type~1~complete~genome,6
Human~adenovirus~type~35~strain~Holden,37
Bovine~foamy~virus,6
Mycobacterium~phage~CELFI,123
Quezon~virus~clone~MT1720~1657~segment~S,3
Myotis~bat~morbillivirus~isolate~PREDICT~PDF~3137,6
TPA_asm:~SsRNA~phage~Gephyllon.4_1~genomic~sequence,4
Ralstonia~phage~RS611~DNA,11
Orange~spotted~grouper~iridovirus,117
Lloviu~cuevavirus~strain~LLOV_378~nucleoprotein,14
MAG:~CRESS~virus~sp.~ctczB4,3
Cyclovirus~bat~USA~2009,2
Tomato~leaf~curl~Gujarat~virus~~~Varanasi~segment~A,6
Sonchus~yellow~net~virus~complete~genome,6
MAG:~Red~panda~amdoparvovirus~2~isolate~patient12amdo01~4~genomic~sequence,3
Glehnia~littoralis~virus~1~N~(QKT58_gp1),7
Human~rhinovirus~20~strain~ATCC~VR~1130,1
Propionibacterium~phage~P1.1,42
MAG:~Genomoviridae~sp.~isolate~6434_414,3
Mycobacterium~phage~Kratio,93
Thevetia~ringspot~virus~isolate~Amazonas,1
Mucambo~virus~strain~Mucambo~BeAn~8,3
Cowpea~severe~mosaic~virus~RNA~2,2
Torque~teno~midi~virus~7~DNA,2
Enterobacter~phage~phiT5282H,39
Escherichia~phage~vB_EcoP~Ro45lw,50
Pennisetum~alopecuroides~mosaic~potyvirus,1
Banana~streak~GF~virus,3
TPA_asm:~SsRNA~phage~Zoerhiza.2_10~genomic~sequence,4
TPA_asm:~Rhododendron~delavayi~secovirus~isolate~Kun~Ming,3
MAG:~Leviviridae~sp.~isolate~s48~k141_1041920~genomic~sequence,3
Staphylococcus~phage~phiSa2wa_st5,72
Rosellinia~necatrix~victorivirus~1~RNA,2
Synechococcus~phage~S~N03,237
Grusopivirus~C1~isolate~LoPV~1,1
Spanish~sheep~encephalitis~virus~polyprotein~gene,1
Staphylococcus~phage~GH15,213
Finch~associated~genomovirus~8~isolate~A3N_A,3
TPA_asm:~SsRNA~phage~SRR6960799_41~genomic~sequence,3
Entomophthora~muscae~mitovirus~1~strain~EnmuMV1~KVL~14~117~RNA~dependent~RNA~polymerase~(RdRp)~gene,3
MAG:~Leviviridae~sp.~isolate~74~k141_63878~genomic~sequence,3
Xanthomonas~phage~Mallos,78
Neuropteran~phasma~related~virus~OKIAV248~RdRp~(QK684_sLgp1)~gene,4
MAG:~Tomato~betanucleorhabdovirus~2~isolate~SKO20ST1,6
Klebsiella~phage~vB_KpnM_FZ14,71
Salmonella~phage~BPS11Q3,64
Aleutian~mink~disease~parvovirus~strain~LM,2
Salmonella~phage~sidste,57
Banana~mild~mosaic~virus,5
SARS~coronavirus~Tor2,8
Erwinia~amylovora~phage~Era103,52
Human~rhinovirus~type~89~(HRV89),1
Hordeum~mosaic~virus,1
Staphylococcus~phage~IME~SA1,217
Citrobacter~phage~vB_CfrD_ElisaCorrea,80
Trematomus~bernacchii~polyomavirus~1~isolate~BIS330,3
Diuris~virus~B~isolate~SW3.3,1
TPA_asm:~SsRNA~phage~SRR5208572_2~genomic~sequence,4
Iriri~virus~nucleoprotein,10
Mulberry~badnavirus~1~complete~genome,2
MAG:~Cressdnaviricota~sp.~isolate~fmg067cre2,2
Streptococcus~phage~SW1151,45
Plasmopara~viticola~lesion~associated~ourmia~like~virus~31~isolate~DMG~B_Contig5~RNA~dependent~RNA~polymerase~gene,3
TPA_asm:~SsRNA~phage~Gerhypos.2_7~genomic~sequence,4
Erysiphe~necator~associated~negative~stranded~RNA~virus~6~isolate~PMS3_236,2
Euphorbia~mosaic~virus~~~A~Mexico:Yucatan:2004~clone~pEuMV~YP~A~segment~DNA~A,6
Puma~concolor~papillomavirus~type~1,6
Heterobasidion~partitivirus~13~strain~HetPV13~an1~RNA~dependent~RNA~polymerase~gene,2
Vibrio~phage~VALG_phi6,13
TPA_asm:~SsRNA~phage~SRR7976300_8~genomic~sequence,3
Mannheimia~phage~PHL101,49
Blueberry~red~ringspot~virus,8
Bat~coronavirus,10
Pseudomonas~phage~phiPsa267,178
Stocky~prune~virus~segment~RNA~1~polyprotein~gene,2
Sclerotinia~sclerotiorum~mitovirus~4~RNA~dependent~RNA~polymerase~gene,1
Gordonia~phage~Gaea,84
TPA_asm:~SsRNA~phage~SRR6960799_39~genomic~sequence,3
Oryza~australiensis~retrotransposon~RIRE1~DNA,2
Salmonella~phage~Maynard,200
Human~papillomavirus~type~4,6
Dioscorea~bacilliform~RT~virus~2~isolate~DBRTV2,3
Sulfolobus~spindle~shaped~virus~4,26
TPA_asm:~SsRNA~phage~SRR6960797_3~genomic~sequence,3
Pseudomonas~phage~Njord,50
Aichi~virus~genomic~RNA,1
Tico~virus~strain~SP0157~PA~2013~segment~L,4
Staphylococcus~phage~StauST398~4,59
Vibrio~phage~Pontus,176
Yersinia~phage~fPS~54~ocr~genome~assembly,47
Pectobacterium~phage~Phoria,60
Aeonium~ringspot~virus~segment~RNA2,2
Lactococcus~phage~LP9908,53
Phage~NBEco001,171
Human~papillomavirus~type~50,5
Sphaeropsis~sapinea~RNA~virus~1,2
Salinivibrio~phage~SMHB1,48
Operophtera~brumata~nucleopolyhedrovirus~isolate~OpbuNPV~MA,126
Blackberry~Virus~F~isolate~BBV~3X,3
Echovirus~type~12,1
Kotalahti~bat~lyssavirus~isolate~NA~genome~assembly,5
Littorina~sp.~associated~circular~virus~isolate~I0041,2
Tursiops~truncatus~papillomavirus~type~3,6
Pokeweed~mosaic~virus~isolate~PkMV~PA,1
Bacillus~phage~Karezi,28
Lactococcus~phage~936~group~phage~PhiA.16,47
Nymphaea~alba~virus~1~N~(QKT60_gp1),7
Pectobacterium~phage~Nepra,94
TPA_asm:~SsRNA~phage~SRR6960507_2~genomic~sequence,3
TPA_asm:~SsRNA~phage~Esthiorhiza.2_36~genomic~sequence,4
Yersinia~phage~PST,269
Oya~virus~strain~SC0806~segment~L,3
Lagenaria~siceraria~endornavirus~California~isolate~FB,1
Beet~ringspot~virus~RNA~1,2
African~eggplant~mosaic~virus~isolate~2013~281,1
MAG:~Leviviridae~sp.~isolate~278R~k141_757754~genomic~sequence,3
Staphylococcus~phage~B166,62
Escherichia~phage~teqdroes,269
Tomato~mosaic~leaf~curl~virus~DNA~A,5
Burkholderia~phage~JG068,47
Sporobolus~striate~mosaic~virus~1,5
Soft~shelled~turtle~iridovirus,94
Beet~western~yellows~virus,4
Rhizobium~phage~RHEph22,97
Edge~Hill~virus~strain~YMP~48~polyprotein~gene,1
MAG:~Leviviridae~sp.~isolate~294~k141_14750_2~maturation~protein,5
Human~rhinovirus~type~16~polyprotein~gene,1
Rat~picornavirus~isolate~RPV~NYC~B10~polyprotein~gene,1
Citrobacter~phage~vB_CfrD_SorkZaugg,85
Pongola~virus~~~SAAr1~strain~SA~Ar1~segment~L~polymerase~gene,3
Tomato~yellow~leaf~curl~China~virus~TbY5~DNA~A,3
Salmonella~phage~Stitch,176
Wheat~dwarf~virus~isolate~HUNGARY~KP10~1,3
Guagua~virus~strain~GV~Mati1754~5~segment~L~genomic~sequence,4
TPA_asm:~SsRNA~phage~SRR5466728_2~genomic~sequence,3
TPA_asm:~SsRNA~phage~SRR5208570_3~genomic~sequence,3
Salmonella~phage~SETP13,69
Onion~yellow~dwarf~virus,1
Bat~polyomavirus~5b~DNA,4
Choristoneura~fumiferana~multiple~nucleopolyhedrovirus,128
Turdivirus~2,1
MAG:~Cressdnaviricota~sp.~isolate~hbl169cre1,2
Possum~adenovirus~1~penton~base~protein~gene,2
Paslahepevirus~balayani~isolate~little~egret~kocsag02~2014~HUN,2
Citrus~tristeza~virus,12
MAG:~Leviviridae~sp.~isolate~237b~k141_521962~genomic~sequence,3
Peanut~stunt~virus~RNA~1,4
Human~papillomavirus~type~95~E6~gene,7
Cherry~virus~A,1
Groundnut~rosette~assistor~virus~isolate~SC7.1,6
Robinz~virus~RP_584,3
Gordonia~phage~Crocheter,87
Sclerotium~rolfsii~hypovirus~3~strain~BLH~18~polyprotein~gene,1
Pseudomonas~aeruginosa~PS75~adTyT~supercont1.7,47
Uncultured~phage_MedDCM~OCT~S35~C6~DNA,57
Leuconostoc~phage~P793,40
Primate~T~lymphotropic~virus~3~long~terminal~repeat,7
Pseudomonas~phage~vB_PaeP_130_113,56
MAG:~Virus~sp.~isolate~D1_583,2
Zaliv~Terpenia~virus~segment~L,5
Maraba~virus~from~Brazil,6
Alfalfa~enamovirus~1~isolate~Manfredi,5
Mimosa~yellow~leaf~curl~virus~DNA~A,3
Tomato~leaf~curl~Arusha~virus~segment~DNA~A,4
Bat~hepevirus~isolate~DesRot~Peru~API17_F_DrHEV,2
Uncultured~phage~MedDCM~OCT~S05~C849~genomic~sequence,24
MAG:~TTV~like~mini~virus~isolate~SAfiA~326~5,3
TPA_asm:~SsRNA~phage~ESE015~genomic~sequence,3
Mycobacterium~phage~Wizard007,81
MAG:~Sanya~solspi~like~virus~4~isolate~QJZLS610~maturation~protein,3
Ipomoea~yellow~vein~virus~V2,3
Cauliflower~mosaic~virus,6
MAG:~Leviviridae~sp.~isolate~242~k141_120758~genomic~sequence,3
TPA_asm:~SsRNA~phage~SRR5467091_16~genomic~sequence,4
MAG:~Cressdnaviricota~sp.~isolate~ctbe77,2
Fusarium~oxysporum~f.~sp.~dianthi~mycovirus~1~segment~1,6
Human~rhinovirus~13~strain~ATCC~VR~1123,1
Bamboo~rat~circovirus~isolate~FJ01,2
Canis~familiaris~polyomavirus~1~isolate~R006926~CT2015,5
Porcine~associated~porprismacovirus~10~isolate~49_Fec25_pig,5
Hubei~toti~like~virus~19~strain~horsefly123848~hypothetical~protein~1~and~hypothetical~protein~2~genes,3
Megrivirus~C3~strain~RS~BR~2015~3R~polyprotein~gene,4
Pseudomonas~phage~PA26,91
Escherichia~phage~vB_EcoP~101114UKE3,114
Circovirus~like~genome~DHCV~6,4
Sea~star~associated~densovirus~structural~protein~and~nonstructural~protein~genes,3
MAG:~Anelloviridae~sp.~isolate~ctcf040,2
Fort~Morgan~virus,3
UNVERIFIED:~Acanthamoeba~polyphaga~mimivirus~Kroon,1009
Human~papillomavirus~type~57~complete~DNA,8
Bat~associated~cyclovirus~17~strain~MAVG~01,3
Apple~rubbery~wood~virus~2~isolate~R12~segment~L~RNA~dependent~RNA~polymerase~(RdRp)~gene,5
Igbo~Ora~virus~strain~IBH10964,2
Murid~herpesvirus~8~isolate~England,156
Common~moorhen~coronavirus~HKU21,10
Mycobacterium~phage~Nappy,228
Hymenopteran~chu~related~virus~OKIAV123~glycoprotein~(QKO70_gp1),5
Tulane~virus~nonstructural~polyprotein,3
Poinsettia~mosaic~virus,1
Thladiantha~dubia~mosaic~virus~isolate~Harbin~NEFU,1
TPA_asm:~SsRNA~phage~SRR7976357_6~genomic~sequence,3
Escherichia~phage~GeorgBuechner,54
Crahelivirus~A1~isolate~yc~1,1
Human~papillomavirus~type~14D~genomic~DNA,5
Klebsiella~phage~KpGranit,166
Crimean~Congo~hemorrhagic~fever~virus~segment~M,3
Plasmopara~viticola~lesion~associated~ourmia~like~virus~40~isolate~DMG~A_36999~RNA~dependent~RNA~polymerase~(QKR45_gp1)~gene,2
MAG:~Bacteriophage~sp.~isolate~3589_105981,46
Salmonella~phage~aagejoakim,208
Nariva~virus,6
Pepper~cryptic~virus~2~isolate~HW~01~segment~RNA1,2
Xanthomonas~phage~Xp12,80
Zea~mays~copia~like~retrotransposon~Sto~4,2
Mycobacterium~phage~Fruitloop,108
Lentibacter~phage~vB_LenP_ICBM1,54
Tomato~leaf~curl~geminivirus~DNA~A~strain~LCV~Ban4,3
Rice~hoja~blanca~tenuivirus~segment~RNA1,8
Torque~teno~mini~virus~18~isolate~222,1
Magnaporthe~oryzae~virus~3~strain~QSP5,3
Rodent~coronavirus~isolate~RtMruf~CoV~2~JL2014,11
Acheta~domesticus~mini~ambidensovirus~isolate~Kalamazoo,3
MAG:~Bacteriophage~sp.~isolate~0094_103040,46
Dracaena~mottle~virus,5
Mongoose~feces~associated~gemycircularvirus~b~strain~160b,3
Morogoro~maize~associated~virus~isolate~16~0112~nucleocapsid~protein,6
Streptococcus~phage~P3681,43
Goat~associated~porprismacovirus~isolate~16915x9_1969,3
Human~papillomavirus~type~132,6
Porcine~associated~porprismacovirus~7~isolate~EP2~A,3
Lepus~americanus~faeces~associated~genomovirus~SHP9,3
Pseudomonas~phage~73,51
Bat~associated~cyclovirus~4~isolate~YN~BtCV~5,2
Escherichia~phage~WG01,271
TPA_asm:~SsRNA~phage~SRR5466364_2~genomic~sequence,4
Human~papillomavirus~~~1,5
Dillards~Draw~virus~isolate~DDrV~2015,6
Raspberry~mottle~virus~isolate~HCRL~Glen~Clova,9
MAG:~Bacteriophage~sp.~isolate~2047_64505,49
Anatid~herpesvirus~1~strain~2085,90
Sesbania~mosaic~virus,4
Porcine~teschovirus~6~strain~PS~37~polyprotein~gene,1
Brassica~rapa~virus~1~L~(QK880_s1gp1)~gene,4
Norovirus~dog~C33~Viseu~2007~PRT~RNA~dependent~RNA~polymerase~gene,4
Klebsiella~phage~vB_KpnS_FZ10,78
Mastomys~natalensis~papillomavirus,5
TPA_asm:~SsRNA~phage~Gerhypos.4_9~genomic~sequence,4
MAG:~Pestalotiopsis~botourmiavirus~2~RNA~dependent~RNA~polymerase~gene,1
Microbacterium~phage~Quaker,25
Zygosaccharomyces~bailii~virus~Z~strain~412,2
Arthrobacter~phage~Litotes,61
TPA_asm:~SsRNA~phage~SRR5466338_3~genomic~sequence,5
Tyuleniy~virus~strain~LEIV~6C~polyprotein~gene,1
Ocimum~golden~mosaic~virus~isolate~Uganda~UG31~2015~segment~DNA~A,5
Yersinia~phage~phiYe~F10,47
Human~calicivirus~Hu~NLV~GII~MD145~12~1987~US,3
Prospect~Hill~virus~segment~L,4
Rice~grassy~stunt~virus~RNA~5,16
Gordonia~phage~Rickmore,89
Flen~bunya~like~virus~strain~SW6~nucleocapsid~protein~(QK739_gp1)~gene,3
Vibrio~phage~VH7D,378
Sauropus~yellowing~virus~isolate~THSP1~B~P0,5
Mucura~virus~segment~L,5
Alternaria~tenuissima~negative~stranded~RNA~virus~2~isolate~HB~15,6
Bat~circovirus~isolate~BtPa~CV~3~NX2013,2
TPA_asm:~SsRNA~phage~SRR7976310_3~genomic~sequence,5
Pepper~vein~yellows~virus~2~isolate~Is,5
Klebsiella~phage~KP32_isolate~192,49
MAG:~Bacteriophage~sp.~isolate~2092_72904,47
Common~oak~ringspot~associated~virus~segment~RNA1,5
Chayote~yellow~mosaic~virus,4
Arthrobacter~phage~Wawa,62
MAG:~Leviviridae~sp.~isolate~279~k141_139404~genomic~sequence,3
Bark~beetle~associated~genomovirus~4~isolate~BbaGV~4_US~AB02_249~2014,3
Chickpea~chlorotic~stunt~virus,5
Crowned~shrew~hepatitis~B~virus~isolate~GF2139,3
Escherichia~phage~vB_EcoM~12474III,45
Arthrobacter~phage~BigMack,61
Keuraliba~virus~nucleoprotein,6
Aleutian~mink~disease~parvovirus~strain~HY~327~nonstructural~protein~1,3
TPA_asm:~SsRNA~phage~Zoerhiza.4_21~genomic~sequence,3
Tomato~interveinal~chlorosis~virus~isolate~PEBR:Mdc2681:04~segment~DNA~A,3
Listeria~phage~LP~083~2,188
Goose~picornavirus~1~strain~goose~NLSZK2~HUN~2013,1
Torque~teno~virus~20~ORF4,2
Eriocheir~sinensis~reovirus~isolate~905~segment~1,1
Bayou~virus~isolate~HV~F0260003~segment~L,1
Escherichia~phage~PaulSarasin,84
TPA_asm:~SsRNA~phage~SRR5467090_12~genomic~sequence,3
Japanese~encephalitis~virus,3
TPA_asm:~SsRNA~phage~Gerhypos.2_3~genomic~sequence,3
Capybara~genomovirus~2~isolate~cap1_52,3
Rubber~tree~capillovirus~1~isolate~RTCV1_HN~Qionghai,1
Stx1~converting~phage~AU5Stx1,77
Simian~torque~teno~virus~30~isolate~VWP00522.2,5
Ceratitis~capitata~yoyo~retrotransposon~gag~like,4
West~African~Asystasia~virus~1~isolate~Benin~asystasia~58~14~segment~DNA~A,5
Arthrobacter~phage~Joann,60
Bat~associated~circovirus~7~isolate~BtRs~CV~HuB2013,3
Minute~virus~of~mice,3
Pepper~whitefly~borne~vein~yellow~virus~isolate~PeWBVYV1,4
Torque~teno~Arctocephalus~gazella~virus~2~isolate~ASV35_197,1
Memana~virus~strain~GN~Meliandou~Mn~1~2018,8
Leptonychotes~weddellii~polyomavirus~1~isolate~WSK37,4
Itacaiunas~virus~nucleoprotein,6
Bacillus~phage~B5S,282
Cotton~leaf~curl~Kokhran~virus~segment~DNA~A,3
Agrobacterium~phage~Atu_ph03,51
Infectious~pancreatic~necrosis~virus~16~kDa~nonstructural~protein~and~107~kDa~polyprotein~genes,2
Botrytis~cinerea~negative~stranded~RNA~virus~7~isolate~BCS13_DN1~hypothetical~protein~(QKO64_gp1),4
Rodent~circovirus~isolate~RtCb~CV~1~HeB2014~Rep~gene,4
Flexal~virus~segment~S,4
Ludwigia~yellow~vein~virus~DNA~A,4
Gordonia~phage~Emianna,90
Lagenaria~mild~mosaic~virus~RdRP,3
Pueraria~virus~A~isolate~KW1,6
Bean~dwarf~mosaic~virus~DNA~A,5
Shallot~yellow~stripe~virus,1
MAG:~Bacteriophage~sp.~isolate~3108_57610,45
MAG:~Leviviridae~sp.~isolate~R29~k141_713134,3
Staphylococcus~phage~MCE~2014,209
Ovine~adenovirus~2~strain~PX515~hexon~gene,1
Pleurotus~ostreatus~virus~1~RNA~2,2
Fenneropenaeus~chinensis~hepatopancreatic~densovirus,5
MAG:~Leviviridae~sp.~isolate~208R~k141_472944~genomic~sequence,3
Mycobacterium~phage~Bugsy,78
TPA_asm:~SsRNA~phage~SRR7976299_15~genomic~sequence,3
Coliphage~NC28,9
Ralstonia~phage~RPSC1,46
MAG:~Leviviridae~sp.~isolate~254~k141_84031~genomic~sequence,4
Pseudomonas~phage~B3,51
Foot~and~mouth~disease~virus~O~isolate~o6pirbright~iso58,1
Haartman~Institute~snake~virus~isolate~1~segment~S,3
Klebsiella~phage~KP32_isolate~195,49
Gordonia~phage~Polly,75
Salmonella~phage~Sw2,161
Rhodosporidiobolus~odoratus~RNA~virus~1,3
Aichivirus~A10~strain~16715x14~polyprotein~gene,1
Cytorhabdovirus~sp.~isolate~SWU~X~nucleocapsid~protein,10
MAG:~Hangzhou~frankliniella~intonsa~rhabdovirus~1~isolate~JM1FY86115,5
Porcine~parvovirus~6~strain~P15~1~nonstructural~protein~and~capsid~protein~genes,2
Escherichia~phage~Cartapus~genome~assembly,44
Mycobacterium~phage~HyRo,215
TPA_asm:~SsRNA~phage~SRR5466366_1~genomic~sequence,4
Tobacco~rattle~virus~RNA~1,7
Avian~paramyxovirus~15~isolate~APMV~15~calidris_fuscicollis~Brazil~RS~1177~2012,6
Paslahepevirus~balayani~nonstructural~protein~and~structural~viral~protein~genes,2
Torque~teno~virus~6,2
Proteus~phage~PM87,67
MAG:~Leviviridae~sp.~isolate~306R~k141_8973~genomic~sequence,3
Chimpanzee~polyomavirus~Bob~complete~genome,4
Trocara~virus~non~structural~polyprotein~gene,3
Salmonella~phage~LVR16A,162
TPA_asm:~SsRNA~phage~SRR6050738_4~genomic~sequence,3
Simian~adenovirus~13~strain~P~9,30
Fathead~minnow~nidovirus~replicase~polyprotein~1ab~(pp1ab),5
Porcine~adenovirus~3~strain~6618,57
MAG:~Cressdnaviricota~sp.~isolate~ctce130,2
Sclerotinia~sclerotiorum~hypovirus~1,1
Rice~tungro~spherical~virus,3
MAG:~Leviviridae~sp.~isolate~154~k141_3388~genomic~sequence,3
Fiwi~virus~strain~FIWIV~CH17,7
MAG:~Pestalotiopsis~botourmiavirus~3~RNA~dependent~RNA~polymerase~gene,1
Orthonairovirus~bushkeyense~strain~G2126~segment~L,3
Hainan~gekko~similignum~picornavirus~strain~LPXYC222841~polyprotein~gene,1
Achyranthes~virus~A~isolate~SK,1
MAG:~Phage~YS1~2_2434,49
Human~adenovirus~type~7~vaccine~strain,35
Bacillus~phage~vB_BsuP~Goe1,24
Botrytis~ourmia~like~virus~RdRp~gene~for~RNA~dependent~RNA~polymerase,1
CrAssphage~cr113_1,173
Reston~ebolavirus~isolate~Reston~virus~M.fascicularis~tc~USA~1989~Philippines89~Pennsylvania,8
Plasmopara~viticola~lesion~associated~ourmia~like~virus~38~isolate~DMG~B_45269~RNA~dependent~RNA~polymerase~(QKR43_gp1)~gene,1
Harbour~porpoise~adenovirus~1~strain~HpAdV~1,17
Wenling~crustacean~virus~11~strain~WLJQ201798~hypothetical~protein~1,5
Avian~adeno~associated~virus~isolate~BR_DF12,2
Invertebrate~iridovirus~25~complete~genome,190
Rhinovirus~C19~strain~CL~Fnp5~polyprotein~gene,1
MAG:~Bacteriophage~sp.~isolate~3511_145817,47
Hubei~diptera~virus~5~strain~SCM245062~RNA~dependent~RNA~polymerase~gene,3
Cocksfoot~mottle~virus~isolate~CfMV~No~P1,4
Okra~leaf~curl~Mali~virus,5
Caretta~caretta~papillomavirus~1,6
Staphylococcus~phage~phinm1,65
Panthera~leo~persica~papillomavirus~type~1,6
Erwinia~phage~Derbicus,234
Klebsiella~phage~SH~Kp~152410,49
Microbacterium~phage~Teamocil,87
Acinetobacter~phage~vB_AbaP_PD~6A3,48
Vibrio~phage~VGJphi,13
La~Crosse~virus~strain~LACV~human~1960~segment~small,3
Artibeus~planirostris~polyomavirus~1~isolate~R104,5
Wenzhou~qinvirus~like~virus~1~strain~WZSLuoI86141~RNA~dependent~RNA~polymerase~gene,3
Pseudomonas~phage~WRT,47
Icoaraci~virus~isolate~BeAn24262~segment~L,6
MAG:~Virus~sp.~isolate~D10_6684,2
Staphylococcus~phage~vB_SauS_JS02~DNA,67
Phlebovirus~GGP~2011a~segment~L,5
Human~adenovirus~type~49,34
Spodoptera~frugiperda~MNPV~virus,136
TPA_asm:~SsRNA~phage~SRR6960803_3~genomic~sequence,5
Gordonia~phage~Twister6,90
Shayang~Fly~Virus~2~strain~SYY1~8~nucleocapsid~(N),7
Marine~snail~associated~circular~virus~isolate~I0084,3
Herbert~virus~strain~F23~CI~2004~segment~M,2
Bacillus~phage~Eldridge,229
MAG:~Penicillium~adametzioides~negative~stranded~RNA~virus~1~isolate~CREA~VE~8SY1,2
Tremovirus~B2~strain~WHWGGF75534~polyprotein~gene,1
